0,1,2,3
1.1969784,0.0,0.0,0.0
1.0187720999999998,3.0068529,-0.47305858,2.9192812000000004
0.8964101000000001,3.1490164000000003,1.7934990000000002,5.535096
0.7678722,1.9619209,2.5773876,8.12505
0.65974015,1.1320221,4.366729,9.545229
0.56116384,0.35392463,5.978875,10.438945
0.48217842,-0.14201954,7.24228,11.326243
0.42190287,0.39516553,8.256602,11.997833
0.36168745,0.3141244,9.024478,12.802836
0.2642487,-0.30801752,9.482498,13.285352
0.23085578,-0.41994295,9.890084,13.720001000000002
0.18118747,-0.18980703,10.204249,14.051429
0.14616494,-0.2343997,10.46419,14.326583
0.103407264,-0.058367099999999984,10.703593,14.346727
0.08189302,-0.047593452,10.873531,14.233619
0.063944094,0.04821893,10.876676,14.107459
0.037338473,0.09041355,10.849305,14.001181
0.0,0.060570225,10.812202,13.987663
